reader_id,stop_id,stop_code,short_name,comment
0x110004,"4729",,Almaden,
0x110005,"5242",,Alum Rock,
0x110006,"5377",,Bascom,
0x110007,"5239",,Berryessa,unconfirmed
0x110008,"4739",,Blossom Hill,unconfirmed
0x110009,"4756",,Bonaventura,
0x11000a,"4815",,Borregas,unconfirmed
0x11000b,"4801",,Baypointe,B.pointe
0x11000c,"4740",,Branham,
0x11000d,"4817",,Bayshore/NASA,
0x11000e,"5379",,Campbell,
0x11000f,"4741",,Capitol,
0x110010,"4745",,"Children's Discovery Museum",Why before Champion?
0x110011,"4807",,Champion,
0x110012,"4802",,Cisco Way,
0x110013,"4751",,Civic Center,
0x110014,"4755",,Component,
0x110015,"4737",,Cottle,unconfirmed
0x110016,"5237",,Cropley,unconfirmed
0x110017,"4814",,Crossman,unconfirmed
0x110018,"4742",,Curtner,unconfirmed
0x110019,"4746",,Convention Center,Why?
0x11001a,"5374",,San Jose Diridon,Diridon
0x11001c,"4813",,Fair Oaks
0x11001d,"5376",,Fruitdale,
0x11001e,"4752",,Gish,
0x11001f,"5235",,Great Mall,
0x110020,"4809",,Great America,Why after Great Mall?
0x110021,"5378",,Hamilton,
0x110022,"5238",,Hostetter,unconfirmed
0x110023,"4750",,Japantown/Ayer,
0x110024,"4754",,Karina,unconfirmed
0x110025,"4808",,Lick Mill,
0x110026,"4816",,Lockheed Martin,
0x110027,"5241",,McKee,
0x110028,"4753",,Metro/Airport,
0x110029,"4818",,Middlefield,
0x11002a,"4803",,I-880/Milpitas,
0x11002b,"5024",,Moffett Park,
0x11002c,"5236",,Montague,unconfirmed
0x11002d,"4821",,Mountain View Downtown,
0x11002e,"4730",,Oakridge,
0x11002f,"4733",,Ohlone-Chynoweth
0x110030,"4810",,Old Ironsides
0x110031,"4757",,Orchard
0x110032,"5240",,Penitencia Creek,unconfirmed
0x110033,"5375",,Race
0x110034,"4811",,Reamwood
0x110035,"4758",,River Oaks
0x110036,"5388",,San Fernando
0x110037,"4747",,San Antonio North
0x110038,"4774",,San Antonio South
0x110039,"4748",,Santa Clara North
0x11003a,"4773",,Santa Clara South
0x11003b,"4749",,St James North
0x11003c,"4772",,St James South
0x11003d,"4736",,Santa Teresa,unconfirmed
0x11003e,"4738",,Snell,
0x11003f,"4743",,Tamien,unconfirmed
0x110040,"4759",,Tasman
0x110041,"4812",,Vienna,unconfirmed
0x110042,"4744",,Virginia,unconfirmed
0x110043,"4819",,Whisman
0x110044,"5380",,Winchester
