reader_id,stop_name,local_name,ref,line_id,note,stop_lat,stop_lon
0x7,Songshan Airport,松山機場,BR13,1,,25.0629075,121.55201
0x8,Zhongshan Junior High School,中山國中,BR12,1,,25.06085,121.544215
0x9,Nanjing Fuxing,南京復興,"G16,BR11","3,1",,25.052044,121.544303
0xa,Zhongxiao Fuxing,忠孝復興,"BL15,BR10","5,1",,25.041749,121.545026
0xb,Daan,大安,"R05,BR09","2,1",,25.033311,121.54237
0xc,Technology Building,科技大樓,BR08,1,,25.02612,121.5434615
0xd,Liuzhangli,六張犁,BR07,1,,25.02381,121.55302
0xe,Linguang,麟光,BR06,1,,25.018495,121.5588335
0xf,Xinhai,辛亥,BR05,1,,25.005455,121.5570455
0x10,Wanfang Hospital,萬芳醫院,BR04,1,,24.99932,121.558092
0x11,Wanfang Community,萬芳社區,BR03,1,,24.99857,121.568088
0x12,Muzha,木柵,BR02,1,,24.99824,121.573127
0x13,Taipei Zoo,動物園,BR01,1,,24.998205,121.579501
0x15,Dazhi,大直,BR14,1,,25.07943,121.54679
0x16,Jiannan Rd.,劍南路,BR15,1,,25.08483,121.5555825
0x17,Xihu,西湖,BR16,1,,25.08216,121.567227
0x18,Gangqian,港墘,BR17,1,,25.08007,121.57516
0x19,Wende,文德,BR18,1,,25.078455,121.5849995
0x1a,Neihu,內湖,BR19,1,,25.083675,121.594363
0x1b,Dahu Park,大湖公園,BR20,1,,25.083805,121.602214
0x1c,Huzhou,葫洲,BR21,1,,25.07271,121.6071455
0x1d,Donghu,東湖,BR22,1,,25.067455,121.611535
0x1e,Nangang Software Park,南港軟體園區,BR23,1,,25.05992,121.615
0x1f,Taipei Nangang Exhibition Center,南港展覽館,"BL23,BR24","5,1",,25.054919,121.616861
0x20,Xiaobitan,小碧潭,G03A,3,,24.97188,121.53058
0x21,Xindian,新店,G01,3,,24.95761,121.53746
0x22,Xindian District Office,新店區公所,G02,3,,24.96744,121.5413
0x23,Qizhang,七張,G03,3,,24.97545,121.542985
0x24,Dapinglin,大坪林,G04,3,,24.9827205,121.54134
0x25,Jingmei,景美,G05,3,,24.992824,121.5406975
0x26,Wanlong,萬隆,G06,3,,25.001978,121.539008
0x27,Gongguan,公館,G07,3,,25.014781,121.534358
0x28,Taipower Building,台電大樓,G08,3,,25.020733,121.5281435
0x29,Guting,古亭,"G09,O05","3,4",,25.026373,121.522868
0x2a,C.K.S. Memorial Hall,中正紀念堂,"G10,R08","3,2",,25.032767,121.518273
