id,code
HBF,NE1
HBC,NE1
OTP,NE3
CNT,NE4
CQY,NE5
DBG,NE6
LTI,NE7
FRP,NE8
BNK,NE9
PTP,NE10
WLH,NE11
SER,NE12
KVN,NE13
HGN,NE14
BGK,NE15
SKG,NE16
PGL,NE17
DBN,CC1
BBS,CC2
EPN,CC3
PMD,CC4
NCH,CC5
SDM,CC6
MBT,CC7
DKT,CC8
PYL,CC9
MPS,CC10
TAS,CC11
BLY,CC12
SRC,CC13
LRC,CC14
BSH,CC15
BSC,CC15
MRM,CC16
CDT,CC17
BTN,CC19
FRR,CC20
HLV,CC21
ONH,CC23
KRG,CC24
HPV,CC25
PPJ,CC26
LBD,CC27
TLB,CC28
BFT,CE1
TNM,EW4
XPO,CG1
CGA,CG2
PSR,EW1
TAM,EW2
SIM,EW3
BDK,EW5
KEM,EW6
EUN,EW7
ALJ,EW9
KAL,EW10
LVR,EW11
BGS,EW12
CTH,EW13
RFP,EW14
TPG,EW15
OTN,EW16
TIB,EW17
RDH,EW18
QUE,EW19
COM,EW20
BNV,EW21
DVR,EW22
CLE,EW23
JUR,EW24
CNG,EW25
LKS,EW26
BNL,EW27
PNR,EW28
JKN,EW29
BBT,NS2
BGB,NS3
CCK,NS4
YWT,NS5
KRJ,NS7
MSL,NS8
WDL,NS9
ADM,NS10
SBW,NS11
YIS,NS13
KTB,NS14
YCK,NS15
AMK,NS16
BDL,NS18
TAP,NS19
NOV,NS20
NEW,NS21
ORC,NS22
SOM,NS23
MRB,NS27
