reader_id,stop_name,comment,stop_lat,stop_lon,osm_place_id
0x00010001,Park,guess,-26.1947687,28.0421048,30406214
0x00010002,Rosebank,unconfirmed,-33.9547309,18.4731447,4706282069
0x00010003,Sandton,unconfirmed,-26.1082609,28.0568468,326005871
0x00010004,Marlboro,guess,-26.0833416,28.1116491,326083326
0x00010005,Midrand,guess,-25.9960444,28.1355845,326082842
0x00010006,Centurion,guess,-25.8518453,28.1896530,1716686951
0x00010007,Pretoria,guess,-25.7594981,28.1905072,326085019
0x00010008,Hatfield,guess,-25.7477106,28.2379301020311,165485282
0x00010009,Rhodesfield,guess,-26.1265084,28.2247760,5243673023
0x0001000a,OR Tambo,-26.1321491,28.2309645,325987520
