id,name
0x1150001,Lianes 1
0x1150002,Lianes 2
0x1150003,Lianes 3
0x1150004,Lianes 4
0x1150005,Lianes 5
0x1150006,Lianes 6
0x1150007,Lianes 7
0x1150008,Lianes 8
0x1150009,Lianes 9
0x115000a,Lianes 10
0x115000b,Lianes 11
0x115000c,Lianes 12
0x115000d,Lianes 13
0x115000e,Lianes 14
0x115000f,Lianes 15
0x1150010,Lianes 16
0x1150014,Ligne 20
0x1150015,Ligne 21
0x1150016,Ligne 22
0x1150017,Ligne 23
0x1150018,Ligne 24
0x1150019,Ligne 25
0x115001a,Ligne 26
0x115001b,Ligne 27
0x115001c,Ligne 28
0x115001d,Ligne 29
0x115001e,Ligne 30
0x1150020,Corol 32
0x1150021,Corol 33
0x1150022,Corol 34
0x1150023,Corol 35
0x1150024,Corol 36
0x1150025,Corol 37
0x1150026,Flexo 38
0x1150030,Flexo 48
0x1150031,Flexo 49
0x1150033,Flexo de nuit 51
0x1150034,Flexo de nuit 52
0x1150035,Ligne 53 Express
0x1150036,Flexo de nuit 54
0x1150037,Flexo de nuit 55
0x1150038,Ligne 56 Express
0x1150039,Flexo de nuit 57
0x115003a,Flexo de nuit 58
0x115003b,Tram A
0x115003c,Tram B
0x115003d,Tram C
0x115003e,Ligne 62
0x115003f,Ligne 63
0x1150040,Ligne 64
0x1150041,Ligne 65
0x1150042,Ligne 66
0x1150043,Ligne 67
0x1150044,Flexo 68
0x1150046,Ligne 70
0x1150047,Ligne 71
0x1150048,Ligne 72
0x1150049,Ligne 73
0x115004a,Ligne 74
0x115004b,Ligne 75
0x115004c,Ligne 76
0x115004d,Ligne 77
0x115004e,Ligne 78
0x115004f,Ligne 79
0x1150050,Ligne 80
0x1150051,Ligne 81
0x1150052,Ligne 82
0x1150053,Ligne 83
0x1150054,Ligne 84
0x1150055,Ligne 85
0x1150056,Ligne 86
0x1150057,Ligne 87
0x1150058,Ligne 88
0x1150059,Ligne 89
0x1150060,Ligne 90
0x1150061,Ligne 91
0x1150062,Ligne 92
0x1150063,Ligne 93
0x1150064,Ligne 94
0x1150065,Ligne 95
0x1150066,Ligne 96
