reader_id,stop_name,stop_lat,stop_lon
0x01,Bogor,-6.59561005,106.7904379
0x02,Cilebut,-6.53050343,106.8005885
0x03,Bojonggede,-6.49326562,106.7949173
0x04,Citayam,-6.44879141,106.8024588
0x05,Depok,-6.40493394,106.8172447
0x06,Depok Baru,-6.39113047,106.821707
0x07,Pondok Cina,-6.36905168,106.8322114
0x08,Univ. Indonesia,-6.36075528,106.8317544
0x09,Univ. Pancasila,-6.33894476,106.8344241
0x10,Lenteng Agung,-6.33065157,106.8349938
0x11,Tanjung Barat,-6.30780817,106.8388513
0x12,Pasar Minggu,-6.28440597,106.8445384
0x13,Pasar Minggu Baru,-6.26278132,106.8518598
0x14,Duren Kalibata,-6.25534623,106.8550195
0x15,Cawang,-6.24266069,106.8588196
0x16,Tebet,-6.22606896,106.8583004
0x17,Manggarai,-6.20992352,106.8502129
0x18,Cikini,-6.19856352,106.8412599
0x19,Gondangdia,-6.18594019,106.8325942
0x20,Juanda,-6.16672229,106.8304674
0x21,Sawah Besar,-6.16063965,106.8276397
0x22,Mangga Besar,-6.14979667,106.8269796
0x23,Jayakarta,-6.14134112,106.8230834
0x24,Jakarta Kota,-6.13761335,106.8146308
0x25,Bekasi,-6.23614485,106.9994173
0x26,Kranji,-6.22433352,106.9793992
0x27,Cakung,-6.21929974,106.9521357
0x28,Klender Baru,-6.21743543,106.9396893
0x29,Buaran,-6.21615092,106.9283069
0x30,Klender,-6.21335877,106.8998889
0x31,Jatinegara,-6.21513342,106.8703259
0x48,Sudirman,-6.202438,106.8234505
0x49,Tanah Abang,-6.18574476,106.8108382
0x50,Palmerah,-6.20740425,106.7974463
0x51,Kebayoran,-6.23718958,106.782542
0x52,Pondok Ranji,-6.27633762,106.7449376
0x53,Jurang Mangu,-6.28876225,106.7291141
0x54,Sudimara,-6.29694285,106.7127952
0x55,Rawabuntu,-6.31500105,106.6761968
0x56,Serpong,-6.32004857,106.6655717
0x57,Cisauk,-6.3249995,106.6407467
0x58,Cicayur,-6.32951436,106.6189624
0x59,Parung Panjang,-6.34420808,106.5698061
0x60,Cilejit,-6.35434367,106.5097328
0x61,Daru,-6.33800742,106.4923913
0x62,Tenjo,-6.32725713,106.4613542
0x63,Tigaraksa,-6.32846118,106.4347451
0x64,Maja,-6.33230387,106.3965692
0x65,Citeras,-6.33492764,106.3327125
0x66,Rangkasbitung,-6.3526711,106.251502
