reader_id,stop_id,stop_code
0x02100101,LME:M50,
0x02100102,LME:M44,
0x02100103,LME:M43,
0x02100104,LME:M01,
0x02100105,LME:M02,
0x02100106,LME:M03,
0x02100107,LME:M04,
0x02100108,LME:M05,
0x02100109,LME:M06,
0x0210010a,LME:M07,
0x0210010b,LME:M08,
0x0210010c,LME:M09,
0x0210010d,LME:M10,
0x0210010e,LME:M11,
0x0210010f,LME:M12,
0x02100110,LME:M45,
0x02100111,LME:M46,
0x02200201,LME:M19,
0x02200202,LME:M10,
0x02200203,LME:M18,
0x02200204,LME:M17,
0x02200205,LME:M16,
0x02200206,LME:M15,
0x02200207,LME:M14,
0x02200208,LME:M13,
0x02200209,LME:M38,
0x0220020a,LME:M39,
0x0220020b,LME:M40,
0x0220020c,LME:M41,
0x0220020d,LME:M42
0x02300301,LME:M30,
0x02300302,LME:M29,
0x02300303,LME:M28,
0x02300304,LME:M27,
0x02300305,LME:M26,
0x02300306,LME:M25,
0x02300308,LME:M23,
0x02300309,LME:M22,
0x0230030a,LME:M21,
0x0230030b,LME:M20,
0x0230030c,LME:M13,
0x0230030d,LME:M37
0x02400401,LME:M08,
0x02400402,LME:M17,
0x02400403,LME:M23,
0x02400404,LME:M31,
0x02400405,LME:M32,
0x02400406,LME:M33,
0x02400407,LME:M34,
0x02400408,LME:M35,
0x02400409,LME:M36,
0x0240040a,LME:M47,
0x0240040b,LME:M48,
0x0240040c,LME:M49,
0x03100016,LCP:11061044,
0x0310001c,LCP:11061002,
0x0310001f,LCP:11060137,
0x03100022,LCP:11060111,
0x03100025,LCP:11060103,
0x03100028,LCP:11060087,
0x0310002b,LCP:11060095,
0x03100031,LCP:11060046,
0x03100037,LCP:11066035,
0x03100046,LCP:11031039,
0x03100058,LCP:11031187,
0x03100070,LCP:11033001,
0x03a00026,LCP:11069005,
0x03a00027,LCP:11069013,
0x03a00029,LCP:11069054,
0x03a0002a,LCP:11069088,
0x03a0002b,LCP:11069104,
0x03a0002c,LCP:11069120,
0x03a0002d,LCP:11069146,
0x03a0002e,LCP:11069161,
0x03a0002f,LCP:11069179,
0x03a00030,LCP:11069187,
0x03a00031,LCP:11069203,
0x03a00032,LCP:11069229,
0x03a00033,LCP:11069237,
0x03a00034,LCP:11069245,
0x03a00035,LCP:11069252,
0x03a00036,LCP:11069260,
0x03a00037,LCP:11095000,
0x03a00038,LCP:11095026,
0x03a00039,LCP:11095042,
0x03a0003a,LCP:11095059,
0x03a0003b,LCP:11095075,
0x03a0003c,LCP:11095109,
0x03a0003d,LCP:11095125,
0x03a0003e,LCP:11068007,
0x03a0003f,LCP:11068049,
0x03a00040,LCP:11068080,
0x03a00041,LCP:11068122
0x03a00042,LCP:11068130,
0x03a00043,LCP:11091058,
0x04200005,LTO:T04,
0x04200006,LTO:T05,
0x0f000001,LFE:11017186,
0x0f000002,LFE:11017152,
0x0f000003,LFE:11017137,
0x0f000004,LFE:11017087,
0x0f000005,LFE:11060004,
0x0f000006,LFE:11066076,
0x0f000007,LFE:11066050,
0x0f000008,LFE:11066035,
0x0f000009,LFE:11017228,
0x0f00000b,LFE:11017095,
0x0f00000c,LFE:11068007,
0x0f00000d,LFE:11068049,
0x0f00000e,LFE:11068080,
0x0f00000f,LFE:11068122,
