reader_id,stop_name,stop_lat,stop_lon,osm_place_id
0x02300307,Arroios,38.7335128,-9.1342227,703896
0x03100034,Sete Rios/Entrecampos/Rossio/Alcântara-Terra/Campolide,,,
0x03100040,Braço de Prata/Santa Apolónia,,,
0x03a00028,Alcântara-Mar,38.70247715,-9.17383321907123,169600233
0x07000010,Barreiro,38.6524854,-9.0794156,5117249
0x0f00000a,unknown/reserved,,,
0x10000101,Cacilhas,38.6875544,-9.1472679,53321812
0x10000102,25 de Abril,38.6843411,-9.1496916,53321824
0x10000103,Gil Vicente,38.6825015,-9.1522834,53409332
0x10000104,São João Baptista,38.6794676,-9.1576022,53825672
0x10000105,Almada,38.6766376,-9.1643079,53321797
0x10000106,Bento Gonçalves,38.6733358,-9.166659,53249599
0x10000107,Cova da Piedade,38.6676853,-9.164815,53338045
0x10000108,Parque da Paz,38.6643677,-9.1599918,53466795
0x10000109,António Gedeão,38.6605208,-9.1573331,53475796
0x1000010a,Laranjeiro,38.6558364,-9.1543966,53226733
0x1000010b,Santo Amaro,38.6869554,-9.3122448,254168068
0x1000010c,Casa do Povo,38.6425018,-9.151768,53477180
0x1000010d,Corroios,38.6364724,-9.1516982,22598970
0x10000207,Cova da Piedade,38.6676853,-9.164815,53338045
0x10000208,Parque da Paz,38.6643677,-9.1599918,53466795
0x10000209,António Gedeão,38.6605208,-9.1573331,53475796
0x1000020a,Laranjeiro,38.6558364,-9.1543966,53226733
0x1000020b,Santo Amaro,38.6869554,-9.3122448,254168068
0x1000020c,Casa do Povo,38.6425018,-9.151768,53477180
0x1000020d,Corroios,38.6364724,-9.1516982,22598970
0x1000020f,Ramalha,38.6689638,-9.1701529,53402811
0x10000210,Pragal,38.6659746,-9.1798677,12345963
0x10000301,Cacilhas,38.6875544,-9.1472679,53321812
0x10000302,25 de Abril,38.6843411,-9.1496916,53321824
0x10000303,Gil Vicente,38.6825015,-9.1522834,53409332
0x10000304,São João Baptista,38.6794676,-9.1576022,53825672
0x10000305,Almada,38.6766376,-9.1643079,53321797
0x10000306,Bento Gonçalves,38.6733358,-9.166659,53249599
0x1000030f,Ramalha,38.6689638,-9.1701529,53402811
0x10000310,Pragal,38.6659746,-9.1798677,12345963
0x10000311,Boa Esperança,38.6639674,-9.1903494,53295687
0x10000312,Fomega,38.6655118,-9.1939912,53102238
0x10000313,Monte de Caparica,38.6645501,-9.2002905,53282174
0x10000314,Universidade,38.6636057,-9.2071729,53222020
