"Bus","Direction","coord_x","coord_y","Arret","Code"
"13","Simonis","702","574","UZ Brussel","1074"
"13","Simonis","728","546","Laerbeek","4070"
"13","Simonis","724","508","Pompiers","1003"
"13","Simonis","769","482","Arbre Ballon-Heymbosch","4226"
"13","Simonis","781","509","Demunter","1081"
"13","Simonis","816","536","Liebrecht","1004"
"13","Simonis","817","576","Schuermans","1005"
"13","Simonis","799","611","Dieleghem","1006"
"13","Simonis","846","618","Bonaventure","1007"
"13","Simonis","849","646","Reniers","1008"
"13","Simonis","843","681","Eugene Toussaint","1009"
"13","Simonis","835","722","Le Roux","1010"
"13","Simonis","823","779","Legrelle","1027"
"13","Simonis","843","807","Bruxellois","1013"
"13","Simonis","856","853","Miroir","1014"
"13","Simonis","871","911","Broustin","6805"
"13","Simonis","888","964","Parc Elisabeth","4116"
"13","UZ Brussel","905","1005","Simonis","1183"
"13","UZ Brussel","871","911","Broustin","6864"
"13","UZ Brussel","856","853","Miroir","6865"
"13","UZ Brussel","843","807","Bruxellois","1062"
"13","UZ Brussel","823","779","Legrelle","1000"
"13","UZ Brussel","835","722","Le Roux","1065"
"13","UZ Brussel","843","681","Eugene Toussaint","1066"
"13","UZ Brussel","849","646","Reniers","1067"
"13","UZ Brussel","846","618","Bonaventure","1068"
"13","UZ Brussel","828","597","Soetens","1069"
"13","UZ Brussel","830","565","Schuermans","1070"
"13","UZ Brussel","816","536","Liebrecht","1026"
"13","UZ Brussel","781","509","Demunter","1080"
"13","UZ Brussel","769","482","Arbre Ballon-Heymbosch","4224"
"13","UZ Brussel","724","508","Pompiers","1075"
"13","UZ Brussel","728","546","Laerbeek","4225"
"14","Gare du Nord","702","574","UZ Brussel","1074"
"14","Gare du Nord","799","611","Dieleghem","1078"
"14","Gare du Nord","774","712","De Rivieren","1079"
"14","Gare du Nord","823","779","Legrelle","1027"
"14","Gare du Nord","843","807","Bruxellois","1013"
"14","Gare du Nord","856","853","Miroir","1014"
"14","Gare du Nord","871","911","Broustin","6805"
"14","Gare du Nord","888","964","Parc Elisabeth","4116"
"14","Gare du Nord","905","1005","Simonis","1025"
"14","Gare du Nord","979","927","Belgica","5009"
"14","Gare du Nord","1009","964","Vanderstichelen","5011"
"14","Gare du Nord","1071","1007","Picard","1019"
"14","Gare du Nord","1122","1029","Tour et Taxis","1020"
"14","Gare du Nord","1173","997","Armateurs","1021"
"14","Gare du Nord","1174","1028","Willebroek","1016"
"14","Gare du Nord","1194","1059","WTC","1022"
"14","Gare du Nord","1246","1077","Gare du Nord","1023"
"14","UZ Brussel","1246","1077","Gare du Nord","1900"
"14","UZ Brussel","1246","1077","Gare du Nord","1030"
"14","UZ Brussel","1194","1059","WTC","1052"
"14","UZ Brussel","1174","1028","Willebroek","1051"
"14","UZ Brussel","1173","997","Armateurs","1054"
"14","UZ Brussel","1122","1029","Tour et Taxis","1055"
"14","UZ Brussel","1071","1007","Picard","1056"
"14","UZ Brussel","1009","964","Vanderstichelen","5074"
"14","UZ Brussel","979","927","Belgica","5076"
"14","UZ Brussel","971","966","Flessingue","1053"
"14","UZ Brussel","905","1005","Simonis","1183"
"14","UZ Brussel","871","911","Broustin","6864"
"14","UZ Brussel","856","853","Miroir","6865"
"14","UZ Brussel","843","807","Bruxellois","1062"
"14","UZ Brussel","823","779","Legrelle","1000"
"14","UZ Brussel","774","712","De Rivieren","4065"
"14","UZ Brussel","799","611","Dieleghem","4064"
"15","UZ Brussel","1246","1077","Gare du Nord","1900"
"15","UZ Brussel","1246","1077","Gare du Nord","1030"
"15","UZ Brussel","1194","1059","WTC","1052"
"15","UZ Brussel","1174","1028","Willebroek","1051"
"15","UZ Brussel","1173","997","Armateurs","1054"
"15","UZ Brussel","1122","1029","Tour et Taxis","1055"
"15","UZ Brussel","1071","1007","Picard","1056"
"15","UZ Brussel","1009","964","Vanderstichelen","5074"
"15","UZ Brussel","979","927","Belgica","5076"
"15","UZ Brussel","971","966","Flessingue","1053"
"15","UZ Brussel","905","1005","Simonis","1183"
"15","UZ Brussel","871","911","Broustin","6864"
"15","UZ Brussel","856","853","Miroir","6865"
"15","UZ Brussel","843","807","Bruxellois","1062"
"15","UZ Brussel","823","779","Legrelle","1000"
"15","UZ Brussel","787","775","Square du Centenaire","9103"
"15","UZ Brussel","835","722","Le Roux","1065"
"15","UZ Brussel","843","681","Eugene Toussaint","1066"
"15","UZ Brussel","849","646","Reniers","1067"
"15","UZ Brussel","846","618","Bonaventure","1068"
"15","UZ Brussel","828","597","Soetens","1069"
"15","UZ Brussel","830","565","Schuemans","1070"
"15","UZ Brussel","816","536","Liebrecht","1026"
"15","UZ Brussel","781","509","Demunter","1080"
"15","UZ Brussel","769","482","Arbre Ballon-Heymbosch","4224"
"15","UZ Brussel","724","508","Pompiers","1075"
"15","UZ Brussel","728","546","Laerbeek","4225"
"15","Gare du Nord","702","574","UZ Brussel","1074"
"15","Gare du Nord","728","546","Laerbeek","4070"
"15","Gare du Nord","724","508","Pompiers","1003"
"15","Gare du Nord","769","482","Arbre Ballon-Heymbosch","4226"
"15","Gare du Nord","781","509","Demunter","1081"
"15","Gare du Nord","816","536","Liebrecht","1004"
"15","Gare du Nord","817","576","Schuemans","1005"
"15","Gare du Nord","799","611","Dieleghem","1006"
"15","Gare du Nord","846","618","Bonaventure","1007"
"15","Gare du Nord","849","646","Reniers","1008"
"15","Gare du Nord","843","681","Eugene Toussaint","1009"
"15","Gare du Nord","835","722","Le Roux","1010"
"15","Gare du Nord","787","775","Square du Centenaire","1012"
"15","Gare du Nord","823","779","Legrelle","1027"
"15","Gare du Nord","843","807","Bruxellois","1013"
"15","Gare du Nord","856","853","Miroir","1014"
"15","Gare du Nord","871","911","Broustin","6805"
"15","Gare du Nord","888","964","Parc Elisabeth","4116"
"15","Gare du Nord","905","1005","Simonis","1025"
"15","Gare du Nord","979","927","Belgica","5009"
"15","Gare du Nord","1009","964","Vanderstichelen","5011"
"15","Gare du Nord","1071","1007","Picard","1019"
"15","Gare du Nord","1122","1029","Tour et Taxis","1020"
"15","Gare du Nord","1173","997","Armateurs","1021"
"15","Gare du Nord","1174","1028","Willebroek","1016"
"15","Gare du Nord","1194","1059","WTC","1022"
"15","Gare du Nord","1246","1077","Gare du Nord","1023"
"15","Gare du Nord","1246","1077","Gare du Nord","1900"
"17","Heiligenborre","1738","1930","Beaulieu","4297"
"17","Heiligenborre","1683","1944","Michiels","4298"
"17","Heiligenborre","1657","1996","Brillant","4299"
"17","Heiligenborre","1676","2026","Keym","4310"
"17","Heiligenborre","1708","2098","Vander Elst","4311"
"17","Heiligenborre","1727","2148","Ortolans","4312"
"17","Heiligenborre","1774","2158","Les 3 Tilleuls","4313"
"17","Heiligenborre","1800","2207","Miraval","4347"
"17","Heiligenborre","1852","2243","Wiener","4349"
"17","Heiligenborre","1828","2284","Diabolo","4342"
"17","Heiligenborre","1828","2325","Etangs de Boitsfort","4289"
"17","Heiligenborre","1839","2351","International School","4288"
"17","Heiligenborre","1846","2384","Kattenberg","4290"
"17","Heiligenborre","1878","2429","Pepiniere","4291"
"17","Heiligenborre","1861","2415","Equipages","4319"
"17","Beaulieu","1846","2384","Heiligenborre","9059"
"17","Beaulieu","1839","2351","International School","4287"
"17","Beaulieu","1828","2325","Etangs de Boitsfort","4292"
"17","Beaulieu","1828","2284","Diabolo","4341"
"17","Beaulieu","1852","2243","Wiener","4368"
"17","Beaulieu","1800","2207","Miraval","4348"
"17","Beaulieu","1774","2158","Les 3 Tilleuls","4355"
"17","Beaulieu","1727","2148","Ortolans","4356"
"17","Beaulieu","1708","2098","Vander Elst","4357"
"17","Beaulieu","1676","2026","Keym","4358"
"17","Beaulieu","1657","1996","Brillant","4293"
"17","Beaulieu","1683","1980","Tercoigne","4294"
"17","Beaulieu","1741","1981","Gardon","4295"
"17","Beaulieu","1811","1969","Berensheide","4296"
"20","Delacroix","390","883","Hunderenveld","1101"
"20","Delacroix","432","932","Sept Etoiles","1102"
"20","Delacroix","457","969","Broek","4598"
"20","Delacroix","499","998","Place de l'Eglise","1095"
"20","Delacroix","526","1023","Comhaire","1105"
"20","Delacroix","535","943","Schweitzer","5106"
"20","Delacroix","612","918","Hopital Français","1107"
"20","Delacroix","679","912","Goffin","1108"
"20","Delacroix","711","964","Benes","1096"
"20","Delacroix","746","1019","Bastogne","1097"
"20","Delacroix","817","1018","Sippelberg","1098"
"20","Delacroix","857","1007","KU Brussel","1171"
"20","Delacroix","905","1005","Simonis","1112"
"20","Delacroix","920","1053","Van Huffel","1114"
"20","Delacroix","893","1079","Autrique","1115"
"20","Delacroix","905","1100","Etangs Noirs","4111"
"20","Delacroix","853","1111","Osseghem","4114"
"20","Delacroix","824","1182","Beekant","1146"
"20","Delacroix","792","1242","Gare de l'Ouest","1118"
"20","Delacroix","804","1302","Delacroix","1117"
"20","Hunderenveld","804","1302","Delacroix","1178"
"20","Hunderenveld","792","1242","Gare de l'Ouest","1176"
"20","Hunderenveld","824","1182","Beekant","1210"
"20","Hunderenveld","853","1111","Osseghem","1202"
"20","Hunderenveld","905","1100","Etangs Noirs","4010"
"20","Hunderenveld","893","1079","Autrique","1179"
"20","Hunderenveld","920","1053","Van Huffel","1180"
"20","Hunderenveld","905","1005","Simonis","1183"
"20","Hunderenveld","857","1007","KU Brussel","1181"
"20","Hunderenveld","817","1018","Sippelberg","1182"
"20","Hunderenveld","746","1019","Bastogne","1197"
"20","Hunderenveld","711","964","Benes","1198"
"20","Hunderenveld","679","912","Goffin","1199"
"20","Hunderenveld","612","918","Hopital Français","1188"
"20","Hunderenveld","535","943","Schweitzer","5171"
"20","Hunderenveld","522","1004","Comhaire","1190"
"20","Hunderenveld","499","998","Place de l'Eglise","1209"
"20","Hunderenveld","457","969","Broek","4661"
"20","Hunderenveld","432","932","Sept Etoiles","1193"
"20","Hunderenveld","390","883","Hunderenveld","1194"
"21","Brussels Airport","1300","1428","Ducale","1164"
"21","Brussels Airport","1331","1456","Trone","1130"
"21","Brussels Airport","1350","1465","Science","1729"
"21","Brussels Airport","1381","1474","Luxembourg","1262"
"21","Brussels Airport","1381","1474","Luxembourg","1131"
"21","Brussels Airport","1414","1429","Treves","1132"
"21","Brussels Airport","1472","1451","Parc Leopold","1133"
"21","Brussels Airport","1511","1445","Froissard","1416"
"21","Brussels Airport","1531","1391","Schuman","1418"
"21","Brussels Airport","1560","1357","Michel-Ange","1402"
"21","Brussels Airport","1597","1331","Gueux","1419"
"21","Brussels Airport","1622","1330","De Jamblinne de Meux","1403"
"21","Brussels Airport","1656","1280","Flasky","3251"
"21","Brussels Airport","1675","1283","Opale","1516"
"21","Brussels Airport","1712","1302","Diamant","1517"
"21","Brussels Airport","1712","1302","Diamant","4554"
"21","Brussels Airport","1741","1267","RTBF","4550"
"21","Brussels Airport","1797","1247","Colonel Bourg","3956"
"21","Brussels Airport","1868","1207","Carene","3957"
"21","Brussels Airport","1841","1158","Mommaerts","3961"
"21","Brussels Airport","1786","1153","RTL","4558"
"21","Brussels Airport","1757","1105","Paul Leduc","4555"
"21","Brussels Airport","1730","1056","Geneve","4556"
"21","Brussels Airport","1744","1013","Evere Shopping","4557"
"21","Brussels Airport","1779","1004","Loisirs","3404"
"21","Brussels Airport","1788","962","Permeke","3416"
"21","Brussels Airport","1790","929","Lekaerts","3362"
"21","Brussels Airport","1846","865","Germinal","3363"
"21","Brussels Airport","1917","860","Bale","3364"
"21","Brussels Airport","1981","862","Nato","3301"
"21","Ducale","2440","687","Brussels Airport","9600"
"21","Ducale","1981","862","Nato","3301"
"21","Ducale","1981","862","Nato","3302"
"21","Ducale","1917","860","Bale","3319"
"21","Ducale","1846","865","Germinal","3303"
"21","Ducale","1826","881","Matisse","3304"
"21","Ducale","1790","929","Lekaerts","3305"
"21","Ducale","1790","929","Lekaerts","3300"
"21","Ducale","1788","962","Permeke","3471"
"21","Ducale","1779","1004","Loisirs","3458"
"21","Ducale","1744","1013","Evere Shopping","3466"
"21","Ducale","1730","1056","Geneve","3467"
"21","Ducale","1757","1105","Paul Leduc","3468"
"21","Ducale","1786","1153","RTL","4500"
"21","Ducale","1841","1158","Mommaerts","4505"
"21","Ducale","1868","1207","Carene","3904"
"21","Ducale","1797","1247","Colonel Bourg","3905"
"21","Ducale","1741","1267","RTBF","1549"
"21","Ducale","1712","1302","Diamant","1556"
"21","Ducale","1675","1283","Opale","1563"
"21","Ducale","1656","1280","Plasky","3216"
"21","Ducale","1622","1330","De Jamblinne de Meux","3707"
"21","Ducale","1597","1331","Gueux","1463"
"21","Ducale","1560","1357","Michel-Ange","1464"
"21","Ducale","1531","1391","Schuman","1270"
"21","Ducale","1511","1445","Froissart","1476"
"21","Ducale","1450","1405","Toulouse","1497"
"21","Ducale","1414","1429","Treves","1160"
"21","Ducale","1381","1474","Luxembourg","1162"
"21","Ducale","1350","1465","Science","1776"
"21","Ducale","1331","1456","Trone","1163"
"22","Luxembourg","1753","1500","Montgomery","9020"
"22","Luxembourg","1753","1500","Montgomery","1155"
"22","Luxembourg","1699","1477","Merode","1156"
"22","Luxembourg","1615","1496","Gaulois","1157"
"22","Luxembourg","1538","1457","Nerviens","1158"
"22","Luxembourg","1535","1441","Breydel","1417"
"22","Luxembourg","1525","1392","Schuman","3399"
"22","Luxembourg","1481","1381","Charlemagne","1213"
"22","Luxembourg","1444","1353","Maelbeek","1214"
"22","Luxembourg","1389","1333","Joseph II","1215"
"22","Luxembourg","1385","1383","Guimard","1216"
"22","Luxembourg","1376","1408","Belliard","1217"
"22","Montgomery","1394","1458","Luxembourg","1262"
"22","Montgomery","1359","1415","Belliard","1263"
"22","Montgomery","1368","1387","Guimard","1264"
"22","Montgomery","1348","1361","Arts-loi","1265"
"22","Montgomery","1389","1333","Joseph II","1266"
"22","Montgomery","1444","1353","Maelbeek","1267"
"22","Montgomery","1450","1344","Livingstone","2970"
"22","Montgomery","1519","1342","Ambiorix","1273"
"22","Montgomery","1525","1392","Schuman","1270"
"22","Montgomery","1535","1441","Breydel","1149"
"22","Montgomery","1538","1457","Nerviens","1134"
"22","Montgomery","1615","1496","Gaulois","1135"
"22","Montgomery","1699","1477","Merode","1136"
"22","Montgomery","1753","1500","Montgomery","1137"
