"Type","Zone","Sous-zone","Station","Ligne","Arret","Coord_x","Coord_y"
"00000","000111","0011","1010100","1B","Stockel","2405","1494"
"00000","000111","0011","1001011","1B","Crainhem","2330","1330"
"00000","000111","0011","1000001","1B","Alma","2255","1295"
"00000","000111","0011","0110111","1B","Vandervelde","2210","1342"
"00000","000111","0011","0101101","1B","Roodebeek","2085","1343"
"00000","000111","0011","0100011","1B","Tomberg","1958","1406"
"00000","000111","0011","0011010","1B","Gribaumont","1890","1415"
"00000","000111","0011","0010000","1B","Josephine-Charlotte","1818","1465"
"00000","000111","0011","0000110","1B","Montgomery","1757","1505"
"00000","000111","0010","1111100","1A/1B","Merode","1685","1481"
"00000","000111","0010","1110011","1A/1B","Schuman","1525","1407"
"00000","000111","0010","1101001","1A/1B","Maelbeek","1445","1378"
"00000","000111","0010","1011111","1A/1B/2","Art-Loi","1352","1351"
"00000","000111","0010","1010101","1A/1B","Park","1275","1339"
"00000","000111","0010","1001100","1A/1B","Gare Centrale","1223","1347"
"00000","000111","0010","1000010","1A/1B","De Brouckere","1115","1252"
"00000","000111","0100","1000000","1A/1B","Sainte Catherine","1082","1231"
"00000","000111","0100","1001001","1A/1B","Comte de Flandres","1004","1170"
"00000","000111","0100","1010011","1A/1B","Etangs Noirs","917","1117"
"00000","001000","0111","0101100","1A/1B","Beekant","803","1159"
"00000","001000","0111","0100010","1B","Gare de l'Ouest","771","1249"
"00000","011011","1000","0101111","1B","Jacques Brel","725","1333"
"00000","011011","1000","0100101","1B","Aumale","660","1399"
"00000","011011","1000","0011011","1B","Saint Guidon","581","1464"
"00000","011011","1000","0010001","1B","Veeweyde","492","1577"
"00000","011011","1000","0001000","1B","Bizet","450","1614"
"00000","011011","0111","1111110","1B","La Roue","379","1697"
"00000","011011","0111","1110100","1B","CERIA","332","1778"
"00000","011011","0111","1101011","1B","Eddy Merckx","248","1744"
"00000","011011","0111","1100001","1B","Erasme","103","1754"
"00000","100000","0101","1000000","1A","Roi Baudouin","945","425"
"00000","100000","0101","0110110","1A","Heysel","1041","442"
"00000","100000","0101","0101100","1A","Houba-Brugmann","1034","551"
"00000","100000","0101","0100011","1A","Stuyvenbergh","1075","618"
"00000","100000","0101","0011001","1A","Bockstael","1135","731"
"00000","100000","0101","0001111","1A","Pannehuis","1056","847"
"00000","100000","0101","0000101","1A","Belgica","979","927"
"00000","001101","0011","1011011","1A","Osseghem","833","1095"
"00000","001101","0011","1100101","1A/2","Simonis","905","1005"
"00000","011010","0101","0010010","1A","Thieffry","1706","1599"
"00000","011010","0101","0011100","1A","Petillon","1717","1683"
"00000","011010","0101","0100101","1A","Hankar","1726","1818"
"00000","011010","0101","0101111","1A","Delta","1696","1869"
"00000","011010","0101","0111001","1A","Beaulieu","1738","1930"
"00000","011010","0101","1000011","1A","Demey","1890","1955"
"00000","011010","0101","1001100","1A","Hermann-Debroux","1963","1966"
"00000","001100","0010","0011111","2","Ribaucourt","1010","1065"
"00000","001100","0010","0001011","2","Yser","1127","1133"
"00000","001100","0010","0000010","2/PremNS","Rogier","1203","1165"
"00000","001100","0001","1111000","2","Botanique","1296","1212"
"00000","001100","0001","1101110","2","Madou","1356","1277"
"00000","001100","0001","0000011","2","Trone","1318","1440"
"00000","001100","0001","0001100","2","Porte de Namur","1240","1508"
"00000","001100","0001","0010110","2","Louise","1166","1555"
"00000","001100","0001","0100000","2","Hotel des Monnaies","1070","1592"
"00000","001100","0001","0101010","2/PremNS","Porte de Hal","1001","1565"
"00000","001100","0001","0110011","2/PremNS","Gare du Midi","928","1490"
"00000","001100","0001","0111101","2","Clemenceau","857","1411"
"00000","001100","0001","1000111","2","Delacroix","790","1332"
"00111","101101","1101","1000100","North-South","Albert","977","1749"
"00111","101101","1101","0111010","North-South","Horta","1022","1674"
"00111","101101","1101","0110001","North-South","Parvis Saint Gilles","1031","1613"
"00111","101101","1101","0010011","North-South","Lemonnier","973","1415"
"00111","101101","1101","0001001","North-South","Anneessens","1018","1369"
"00111","101101","1101","0000000","North-South","Bourse","1074","1290"
"00111","101101","1100","0110010","North-South","Gare du Nord","1248","1075"
"00111","011111","1001","1100110","West","Diamant","1720","1302"
"00111","011111","1001","1011100","West","Georges Henri","1759","1398"
"00111","011111","1010","0110100","West","Boileau","1733","1626"
