reader_id,stop_id,stop_code
0x39d4,8162,
0x39cb,8152,
0x39c1,8142,
0x39b7,8132,
0x39ad,8122,
0x39a3,8112,
0x399a,8102,
0x3990,8092,
0x3986,9996,
0x397c,8072,
0x3973,8062,
0x3969,8052,
0x395f,8402,
0x3955,8032,
0x394c,8022,
0x3942,8012,
0x3a40,8272,
0x3a49,8282,
0x3a53,8292,
0x43ac,8744,
0x43a2,8733,
0xdc2f,8722,
0xdc25,8712,
0xdc1b,8702,
0xdc11,8692,
0xdc08,8682,
0xdbfe,8672,
0xdbf4,8662,
0xdbeb,8652,
0xdbe1,8642,
0x102c0,8834,
0x102b6,9056F,
0x102ac,8814,
0x102a3,8804,
0x10299,8794,
0x1028f,8784,
0x10285,8774,
0x69db,8754,
0x69e5,8764,
0xd292,8202,
0xd29c,8212,
0xd2a5,8222,
0xd2af,8232,
0xd2b9,8242,
0xd2c3,8252,
0xd2cc,8262,
0x611f,8462,
0x610b,8442,
0x6102,8432,
0x60f8,8422,
0x60ee,8412,
0x6083,8302,
0x608c,8312,
0x6096,8322,
0x60a0,8332,
0x60aa,8342,
0x60b3,8352,
0x60b4,8352,
0x60bd,8362,
0x60c7,8372,
0x1c16ec4,2957,
0x1c16eba,0723,
0x1c16eb1,2465,
0x1c16e93,6657,
0x1c16e89,2245,
0x1c16e80,5286,
0x1c16e32,1900,
0x1c16e33,1900,
0x1c0fce6,6454,
0x1c0fcdc,1459,
0x1c0fd34,1866,
0x3c1a432,1743,
0x3c1b082,4071,
0x3c1a439,1745,
0x3c1a3ee,1606,
0x3c1a3ef,1768,
0x3c1a3f0,1067,
0x3c1a3f1,1066,
0x3c1a3f2,1065,
0x3c1a3f5,1675F,
0x3c1a3f6,6865F,
0x3c1ba95,6864F,
0x3c1b014,4152,
0x3c1a49f,8764,
0x3c1bad0,6864F,
0x3c1bad1,6865F,
0x3c1a426,1675F,
0x3c1a429,1065,
0x3c1a42a,1066,
0x3c1a42b,1067,
0x3c1a42c,1768,
0x3c1a438,1745,
0x3c1b080,4071,
0x3c1c432,1743,
0x3c1c436,1606,
0x3c1c3f5,1675F,
0x3c1c3f6,6865F,
0x3c1da95,6864F,
0x3c1d014,4152,
0x3c1c401,8764,
0x3c1d391,8774,
0x3c1d393,5074F,
0x3c1c3fb,1056,
0x3c1c3fc,1356,
0x3c1c3f8,1051,
0x3c1c3fe,9026,
0x3c1c3ff,1900,
0x3c1c76c,1900,
0x3c1c406,1900,
0x3c1c41c,9026,
0x3c1c41b,1051,
0x3c1c41f,1356,
0x3c1c420,1056,
0x3c1d3d2,5074F,
0x3c1d3d4,8774,
0x3c1c49f,8764,
0x3c1dad0,6864F,
0x3c1dad1,6865F,
0x3c1c426,1675F,
0x3c1cfe0,1606,
0x3c1e76c,1900,
0x3c1e406,1900,
0x3c1e41c,9026,
0x3c1e41b,1051,
0x3c1e41f,1356,
0x3c1e420,1056,
0x3c1f3d2,5074F,
0x3c1f3d4,8774,
0x3c1e49f,8764,
0x3c1fad0,6864F,
0x3c1fad1,6865F,
0x3c1e426,1675F,
0x3c1e38f,9103,
0x3c1e429,1065,
0x3c1e42a,1066,
0x3c1e42b,1067,
0x3c1e42c,1768,
0x3c1e438,1745,
0x3c1f080,4071,
0x3c1e432,1743,
0x3c1f082,4071,
0x3c1e439,1745,
0x3c1e3ee,1606,
0x3c1e3ef,1768,
0x3c1e3f0,1067,
0x3c1e3f1,1066,
0x3c1e3f2,1065,
0x3c1e3f4,9103,
0x3c1e3f5,1675F,
0x3c1e3f6,6865F,
0x3c1fa95,6864F,
0x3c1f014,4152,
0x3c1e401,8764,
0x3c1f391,8774,
0x3c1f393,5074F,
0x3c1e3fb,1056,
0x3c1e3fc,1356,
0x3c1e3f8,1051,
0x3c1e3fe,9026,
0x3c1e3ff,1900,
0x3c1e76c,1900,
0x3c230c9,8242,
0x3c230ca,4298,
0x3c230cb,4299,
0x3c230d6,4358,
0x3c230d7,4357,
0x3c230d9,4355,
0x3c230fb,4348,
0x3c230fd,5452,
0x3c230f6,4342,
0x3c230c1,4292,
0x3c230c0,4288,
0x3c230c2,4290,
0x3c230df,4319,
0x3c22363,9059,
0x3c230bf,4288,
0x3c230c4,4292,
0x3c230f5,4342,
0x3c23110,5452,
0x3c230fc,4348,
0x3c23103,4355,
0x3c23105,4357,
0x3c23106,4358,
0x3c230c5,4299,
0x3c230c6,4294,
0x3c230c7,4295,
0x3c230c8,4296,
0x3c2844d,5170,
0x3c2844e,1193,
0x3c291f6,4661B,
0x3c28447,1209,
0x3c28451,1190,
0x3c293f2,1310,
0x3c28454,1199F,
0x3c28448,1198,
0x3c28449,2569,
0x3c2844a,1182,
0x3c28458,8764,
0x3c2845a,1180,
0x3c2845b,1179,
0x3c2900f,8292,
0x3c29012,8754,
0x3c2847a,8744,
0x3c2845e,8733,
0x3c2845d,8372,
0x3c2849a,8372,
0x3c28498,8733,
0x3c284ba,8744,
0x3c284b2,8754,
0x3c28faa,8292,
0x3c2849b,1179,
0x3c2849c,1180,
0x3c2849f,8764,
0x3c2849e,1182,
0x3c284ad,2569,
0x3c284ae,1198,
0x3c284af,1199F,
0x3c29433,1310,
0x3c284a6,1190,
0x3c284b9,1209,
0x3c29235,4661B,
0x3c284a9,1193,
0x3c284aa,5170,
0x3c2a46a,8302,
0x3c2a6c1,1776,
0x3c2a4ee,4367B,
0x3c2a46b,4367B,
0x3c2a46c,1160,
0x3c2a46d,3159,
0x3c2a58a,8062,
0x3c2a57a,1464,
0x3c2a58b,3217,
0x3c2a57b,6055,
0x3c2a5ec,1563,
0x3c2a5ed,6454,
0x3c2b1ca,6454,
0x3c2b1c6,4550,
0x3c2af74,3956,
0x3c2af75,3957,
0x3c2af79,4505,
0x3c2b1cb,4555,
0x3c2b1cc,4556,
0x3c2b1cd,5278F,
0x3c2ad4c,3458,
0x3c2ad58,3425,
0x3c2ad22,5874F,
0x3c2ad24,5038,
0x3c2a580,9600B,
0x3c2acf7,5038,
0x3c2ace8,3304,
0x3c2ace9,5874F,
0x3c2ace4,5874F,
0x3c2ad8f,3425,
0x3c2ad82,3458,
0x3c2ad8a,5278F,
0x3c2ad8b,4556,
0x3c2ad8c,4555,
0x3c2b199,4505,
0x3c2af40,3957,
0x3c2af41,3956,
0x3c2a60d,4550,
0x3c2a614,6454,
0x3c2a61b,1563,
0x3c2ac90,3251,
0x3c2ae7b,6055,
0x3c2a5b7,3217,
0x3c2a5b8,1464,
0x3c2a4f6,8062,
0x3c2a5c4,1476,
0x3c2a5d9,1497B,
0x3c2a488,1160,
0x3c2a48a,4367B,
0x3c2a6f0,1776,
0x3c2a48b,8302,
0x3c2e33c,9996,
0x3c2c483,9996,
0x3c2c484,8072,
0x3c2c485,1159,
0x3c2c486,1873,
0x3c2c589,1417B,
0x3c2cd47,8062,
0x3c2c4be,8052,
0x3c2c4ee,4367B,
0x3c2c4f1,8402,
0x3c2c4f3,8052,
0x3c2cb9a,2970,
0x3c2c4f9,2920,
0x3c2c4f6,8062,
0x3c2c47d,1417B,
0x3c2c46e,1873,
0x3c2c46f,1159,
0x3c2c470,8072,
0x3c2c471,9996,
0x3c36463,8352,
0x3c36972,2418,
0x3c369a3,8342,
0x3c36465,1125,
0x3c36466,1168,
0x3c36467,1167,
0x3c36468,6353F,
0x3c36469,6354B,
0x3c3646a,8302,
0x3c366c1,1776,
0x3c3646b,4367B,
0x3c3646c,1160,
0x3c3646d,3159,
0x3c3646e,1873,
0x3c3646f,1159,
0x3c36470,8072,
0x3c36471,9996,
0x3c36459,1113,
0x3c36473,1459,
0x3c36474,1153,
0x3c36475,9983,
0x3c365f2,3919,
0x3c36f3b,3910,
0x3c36f3c,3909,
0x3c36603,3962,
0x3c36f45,3909,
0x3c36f46,3910,
0x3c36f4f,3919,
0x3c36480,9983,
0x3c36481,1153,
0x3c36482,1459,
0x3c36483,9996,
0x3c36484,8072,
0x3c36485,1159,
0x3c36486,1873,
