reader_id,stop_name
0x5033450,Val de Fontenay
0x5033460,Bry-sur-Marne|Neuilly-Plaisance
0x5033470,Noisy-le-Grand (Mont d'Est)
0x50334c0,Val d'europe
0x50334b0,Bussy-Saint-Georges
0x50334d0,Marne-la-Vallée Chessy
0x5033480,Noisy-Champs
0x50334a0,Lognes|Noisiel|Torcy
0x5030200,Châtelet-Les Halles
0x5030210,Châtelet-Les Halles
0x5030270,Luxembourg
0x5035aa0,Grigny-Centre
0x5035ac0,Le Bras-de-Fer - Evry
0x5035ab0,Evry Courcouronnes|Orangis Bois de l'Epine
0x5036aa0,Bouffemont Moisselles|Montsoult Maffliers
0x5036a60,Deuil Montmagny
0x5036a70,Groslay
0x5036a90,Domont|Ecouen Ezanville
0x5036ab0,Belloy-Saint-Martin|Luzarches|Seugy|Viarmes|Villaines
0x5036a80,Sarcelles Saint-Brice
0x5030600,Saint-Michel Notre-Dame
0x5039670,Les Saules|Orly-Ville
0x5039690,Pont de Rungis Aéroport|Rungis-La Fraternelle
0x50396c0,Massy-Verrières
0x50396a0,Chemin d'Antony
0x5030c00,Auber
0x50398d0,Breuillet Bruyères-le-Châtel|Breuillet-Village|Saint-Chéron
0x50398c0,Arpajon|Egly|La Norville
0x50398e0,Sermaise
0x50398f0,Dourdan|Dourdan-la-Forêt
0x5036ca0,Pierrelaye
0x5036cc0,Boissy-l'Aillerie|Osny
0x5036c90,Franconville|Montigny Beauchamp|Montigny-Beauchamp
0x5036cb0,Pontoise|Saint-Ouen-l'Aumône|Saint-Ouen-l'Aumone-Liesse
0x5036c80,Cernay
0x5036cf0,Chars|Montgeroult Courcelles|Santeuil Le Perchay|Us
0x5031ec0,Port Royal
0x5031ed0,Denfert-Rochereau
0x5032ed0,Couilly Saint-Germain Quincy|Les Champs-Forts|Montry Condé
0x5032ee0,Crécy-en-Brie La Chapelle|Villiers-Montbarbin
0x5033e70,Chaville-Rive Droite|Sèvres Ville-d'Avray|Viroflay-Rive Droite
0x5033e80,Montreuil|Versailles-Rive Droite
0x5036e50,Gennevilliers
0x5036e10,Péreire-Levallois
0x5036e70,Saint-Gratien
0x5036e20,Porte de Clichy
0x5036e00,Avenue Foch|Avenue Henri-Martin|Kennedy Radio-France|Boulainvilliers|Neuilly-Porte Maillot
0x5036e30,Saint-Ouen
0x5036e40,Les Grésillons
0x5036e60,Epinay-sur-Seine
0x5037e70,Porchefontaine|Versailles-Rive Gauche
0x50340c0,Les Clairières de Verneuil|Vernouillet Verneuil
0x50340d0,Aubergenville-Elisabethville|Les Mureaux
0x50340e0,Epône Mézières
0x5034070,Houilles Carrières-sur-Seine|Sartrouville
0x5034100,Bonnières|Mantes-la-Jolie|Mantes-Station|Port-Villez|Rosny-sur-Seine
0x5034090,Maisons-Laffitte
0x50340a0,Poissy
0x5034050,La Garenne-Colombes|Les Vallées|Nanterre-Université
0x50340b0,Médan|Villennes-sur-Seine
0x50350c0,Corbeil-Essonnes|Mennecy|Moulin-Galant
0x5035060,Villeneuve-Prairie
0x50350d0,Ballancourt|Fontenay le Vicomte
0x5035010,Gare de Lyon|Gare de Lyon (Banlieue)
0x50350e0,La Ferté-Alais
0x5035070,Villeneuve-Triage
0x5035080,Villeneuve-Saint-Georges
0x5035110,Boigneville|Buno-Gironville
0x5035090,Juvisy|Vigneux-sur-Seine
0x50350a0,Ris-Orangis|Viry-Châtillon
0x5035050,Le Vert de Maisons|Maisons-Alfort Alfortville
0x50350b0,Evry Val de Seine|Grand-Bourg
0x5035100,Boutigny|Maisse
0x50370b0,Auvers-sur-Oise|Chaponval|Epluches|Pont Petit
0x5032050,Le Parc de Saint-Maur
0x5032010,Nation
0x5032070,La Varenne-Chennevières
0x5032020,Fontenay-sous-Bois|Vincennes
0x5032080,Boissy-Saint-Léger|Sucy Bonneuil
0x5032030,Joinville-le-Pont|Nogent-sur-Marne
0x5032040,Saint-Maur Créteil
0x5032060,Champigny
0x5032860,Bondy
0x50328d0,Esbly
0x5032810,Gare de l'Est
0x50328e0,Meaux
0x5032870,Gagny|Le Raincy Villemomble
0x50328f0,Changis-Saint-Jean|Isles-Armentières Congis|Lizy-sur-Ourcq|Trilport
0x5032900,Crouy-sur-Ourcq|La Ferté-sous-Jouarre|Nanteuil Saacy
0x5032840,Pantin
0x5032890,Chelles Gournay|Le Chênay Gagny
0x50328a0,Vaires Torcy
0x5032850,Noisy-le-Sec
0x50328b0,Lagny-Thorigny
0x5033840,Fontenay-aux-Roses|Robinson|Sceaux
0x50342a0,Achères-Grand-Cormier|Achères-Ville
0x50342c0,Cergy-le-Haut|Cergy-Saint-Christophe
0x50342b0,Cergy-Préfecture|Neuville-Université
0x5035200,Saint-Michel Notre-Dame|Musée d'Orsay
0x5035210,Gare d'Austerlitz
0x5035230,Boulevard Masséna
0x5035270,Villeneuve-le-Roi
0x5035280,Ablon
0x5035240,Ivry-sur-Seine|Vitry-sur-Seine
0x5035290,Athis-Mons
0x5035220,Bibliotheque-Francois
0x5035250,Choisy-le-Roi|Les Ardoines
0x50372b0,Presles Courcelles
0x50372c0,Nointel Mours
0x5034470,Bas Meudon|Bellevue funiculaire
0x5034450,Suresnes - Lonchamp
0x5034460,Les Côteaux|Pont de Saint Cloud|Pont de Sèvres
0x5034480,Les Moulineaux - Billancourt
0x50354a0,Sainte-Geneviève-des-Bois
0x50354c0,Brétigny-sur-Orge|Marolles-en-Hurepoix
0x50354e0,Chamarande|Etampes|Etréchy
0x5035490,Epinay-sur-Orge|Savigny-sur-Orge
0x50354b0,Saint-Michel-sur-Orge
0x50354d0,Bouray|Lardy
0x5035510,Guillerval
0x5035500,Saint-Martin d'Etampes
0x50364c0,Bruyères-sur-Oise|Champagne-sur-Oise|L'Isle-Adam Parmain|Persan Beaumont
0x5036460,La Barre-Ormesson
0x5036400,Haussmann-Saint-Lazare
0x5036410,Gare du Nord|Gare du Nord (Surface)|Magenta|Paris-Nord
0x5036470,Champ de Courses d'Enghien|Enghien-les-Bains
0x5036480,Ermont Eaubonne|Ermont-Eaubonne|Ermont-Halte|Gros-Noyer Saint-Prix
0x5036490,Saint-Leu-La-Forêt|Taverny|Vaucelles
0x50364a0,Bessancourt|Frépillon|Mery
0x5036450,Epinay-Villetaneuse|Saint-Denis|Sèvres-Rive Gauche
0x50364b0,Mériel|Valmondois
0x5031c40,Cité Universitaire
0x5032250,Nanterre-Université|Nanterre-Ville|Nanterre-Préfecture
0x5032210,Charles de Gaulle-Etoile
0x5032290,Le Vésinet-Centre|Le Vésinet-Le Pecq|Saint-Germain-en-Laye
0x5032280,Chatou-Croissy
0x5032240,La Défense (Grande Arche)
0x5032260,Rueil-Malmaison
0x5032ac0,Gretz-Armainvilliers|Tournan
0x5032a60,Nogent Le-Perreux
0x5032a70,Les Boullereaux Champigny
0x5032af0,Courquetaine|Faremoutiers Pommeuse|Guerard La-Celle-sur-Morin|Liverdy en Brie|Marles-en-Brie|Mormant|Mortcerf|Mouroux|Ozouer le voulgis|Verneuil-l'Etang|Villepatour - Presles|Yebles|Yebles - Guignes
0x5032a80,Villiers-sur-Marne
0x5032b10,Champbenoist-Poigny|La Ferté-Gaucher|Longueville|Provins|Sainte-Colombe-Septveilles
