reader_id,stop_name,short_name,line_id,stop_lat,stop_lon,comment
8101,Bellevue Transit Center,Bellevue TC,2,47.6155475,-122.1953814,
8102,NE 8th & 124th NE EB,8th & 124th EB,2,47.61742579,-122.1759606,
8103,NE 8th & 140th NE EB,8th & 140th EB,2,47.61707383,-122.1530932,Renamed from 104th
8104,156th NE & NE 10th NB,156th & 10th NB,2,47.61832136,-122.1323168,
8105,156th NE & NE 15th NB,156th & 15th NB,2,47.62411021,-122.1323007,
8106,NE 24th & Bel-Red WB,24th & Bel-Red WB,2,47.631649,-122.134445,
8107,156th NE at OTC NB,156th @ OTC NB,2,47.64398846,-122.1321881,
8108,148th NE & NE 51st NB,148th & 51st NB,2,47.6557369,-122.1430939,
8109,Redmond Transit Center,Redmond TC,2,47.67665094,-122.124935,
8110,148th NE & NE 87th SB,148th & 87th SB,2,47.68076804,-122.1452343,
8111,148th NE & NE Old Redmond Rd SB,148th & Old Redmond SB,2,47.66712685,-122.1432951,
8112,148th NE & NE 51st SB,148th & 51st SB,2,47.65466371,-122.1434641,
8113,156th NE at OTC SB,156th @ OTC SB,2,47.64477997,-122.1323973,
8114,156th NE & NE 24th SB,156th & 24th SB,2,47.63086366,-122.1324509,
8115,156th NE & NE 15th SB,156th & 15th SB,2,47.62417529,-122.1324939,
8116,156th NE & NE 10th SB,156th & 10th SB,2,47.61815322,-122.1325153,
8117,NE 8th & 140th NE WB,8th & 140th WB,2,47.61728356,-122.1544021,
8118,NE 8th & 124th NE WB,8th & 124th WB,2,47.61727324,-122.1746128,
8130,SW Avalon & SW Bradford SB,Avalon & Bradford SB,3,47.5688667,-122.37085,
8131,SW Avalon & SW Yancy NB,Avalon & Yancy NB,3,47.5678825,-122.370674,
8132,35th SW & SW Avalon SB,35th & Avalon SB,3,47.56354143,-122.3762637,
8133,35th SW & SW Avalon NB,35th & Avalon NB,3,47.56370975,-122.3761001,
8134,SW Alaska & Fauntleroy SW WB,Alaska & Fauntleroy WB,3,47.56115415,-122.3805097,
8135,SW Alaska & Fauntleroy SW EB,Alaska & Fauntleroy EB,3,47.56101659,-122.3808691,
8136,SW Alaska & California Ave WB,Alaska & California WB,3,47.56120302,-122.3870784,
8137,SW Alaska & California Ave EB,Alaska & California EB,3,47.5610546,-122.3868719,
8138,California SW & SW Findlay SB,California & Findlay SB,3,47.5518646,-122.3871481,
8139,California SW & SW Findlay NB,California & Findlay NB,3,47.55236966,-122.3869336,
