id;english;russian;latitude;longitude
111;Ploschad' Vosstaniya;Площадь Восстания;59.931518;30.360465
112;Ploschad' Vosstaniya;Площадь Восстания;59.931518;30.360465
113;Chernyshevskaya;Чернышевская;59.944556;30.359967
203;Moskovskaya;Московская;59.852192;30.322206
204;Moskovskaya;Московская;59.852192;30.322206
209;Tekhnologicheskiy Institut;Технологический Институт;59.916154;30.318387
211;Sennaya Ploshchad;Сенная площадь;59.926744;30.319547
212;Nevskiy prospekt;Невский проспект;59.93429;30.33083
214;Gor'kovskaya;Горьковская;59.95588;30.31788
215;Petrogradskaya;Петроградская;59.966389;30.311389
303;Gostiny dvor;Гостиный двор;59.93373;30.33417
304;Mayakovskaya;Маяковская;59.93153;30.35503
409;Spasskaya;Спасская;59.926744;30.319547
