id,name,short_name
1,"מרכז שירות (בנק הדואר)","מרכז שירות"
2,"רכבת ישראל",
3,"אגד",
4,"אגד תעבורה",
5,"דן",
6,"נצרת שירותי אוטובוסים","נצרת"
7,"נצרת תיור ונופש","נצרת"
8,"ג'י בי טורס","ג'י בי"
9,"אומני (נאזרין אקספרס)","אומני"
10,"מועצה אזורית איילות",
11,"עילית",
14,"נתיב אקספרס",
15,"מטרפולין",
16,"סופרבוס",
17,"קונקס וויולה",
18,"קווים",
19,"מטרודן",
20,"כרמלית",
21,"סיטיפס",
22,"לא מוגדר 22",
23,"גלים (נרקיס גל)","גלים"
24,"מועצה אזורית גולן","גולן"
25,"אפיקים",
30,"דן דרום",
41,"מפעילי מזרח ירושלים","מזרח ירושלים"
