reader_id,stop_name,stop_lat,stop_lon,parent_station,zone_id
1,יוסף קארו/בן איש חי,31.744547,35.000493,,2610
3,ישיבת הרי יהודה,31.793875,35.036776,,751
5,בן איש חי,31.748063,35.001105,,2610
6,כסלון ו,31.774325,35.050396,,859
8,כסלון ט,31.771768,35.051594,,859
15,אלזייתונה/אלאחתראם,31.840166,35.217048,,3000
27,אלמדינה אלמנורה/זעקוקה,31.737062,35.23667,,3000
28,אלמדינה אלמנורה/זעקוקה,31.737154,35.236632,,3000
29,אלמדינה אלמנורה/ביר אלזחלוק,31.738738,35.237298,,3000
30,אלמדינה אלמנורה/ביר אלזחלוק,31.73837,35.237224,,3000
31,קופת חולים/אלמדינה אלמנוורה,31.739898,35.236798,,3000
32,קופת חולים/אלמדינה אלמנוורה,31.740175,35.236768,,3000
33,אלמדינה אלמנורה/ביר אלעקבה,31.740964,35.235249,,3000
34,אלמדינה אלמנורה/ביר אלעקבה,31.74132,35.234317,,3000
35,אלמדינה אלמנורה/מסעב בן עמיר,31.736976,35.235105,,3000
36,קופת חולים/אלמדינה אלמנוורה,31.736484,35.23286,,3000
37,קופת חולים/אלמדינה אלמנוורה,31.736302,35.23226,,3000
40,אלמשאהד ד',31.731781,35.224627,,3000
41,אלמשאהד ד',31.731849,35.224724,,3000
42,אלמשאהד ג',31.732673,35.22574,,3000
45,אלמשאהד א',31.736769,35.228539,,3000
46,אלמשאהד א',31.736625,35.228832,,3000
48,אום טובא 3,31.728309,35.233766,,3000
49,אום טובא 4,31.729868,35.23344,,3000
50,אום טובא 6,31.732664,35.231458,,3000
51,אום טובא 7,31.733533,35.230589,,3000
52,אום טובא 9,31.735416,35.231918,,3000
53,סור באהר 1,31.73651,35.23138,,3000
54,דרך סור באהר,31.736978,35.230176,,3000
55,בית ספר אבו בקר צאדק/אלמדינה אלמונוורה,31.737472,35.229836,,3000
57,בית ספר אלמג'ד/אלאחתאראם,31.841407,35.21632,,3000
58,אלאחתראם א',31.842781,35.216558,,3000
59,אלאחתראם ב',31.842836,35.218288,,3000
60,קולג' די פריר/טאאה חוסין,31.837786,35.227128,,3000
61,שדרות נווה יעקב/משה סנה,31.837425,35.231509,,3000
62,צומת נחשון,31.816076,34.917726,,13551
63,בקוע ה,31.831403,34.928243,,864
64,בקוע א,31.832,34.92724,,864
65,בקוע ב,31.831341,34.925043,,864
66,בקוע ג,31.829878,34.925624,,864
67,בקוע ד,31.827698,34.928173,,864
68,בקוע,31.825192,34.929786,,864
69,בית ספר צור באהר בנות/אלמדינה אלמונוורה,31.738344,35.228717,,3000
70,בריכת שחיה,31.816595,34.976743,,1259
