id,name,short_name,name#1,short_name#1
1,"Service Center (Postal Bank)","Service Center","מרכז שירות (בנק הדואר)","מרכז שירות"
2,"Israel Rail",,"רכבת ישראל"
3,"Egged",,"אגד"
4,"Egged Transport",,"אגד תעבורה"
5,"Dan",,"דן"
6,"NTT (Nazereth Consolidated Bus Services)","NTT","נצרת שירותי אוטובוסים","נצרת"
7,"NTT (Nazereth Travel & Tourism)","NTT","נצרת תיור ונופש","נצרת"
8,"GB Tours","GB","ג'י בי טורס","ג'י בי"
9,"Omni (Nazrin Express)","Omni","אומני (נאזרין אקספרס)","אומני"
10,"Ayalot Regional Council",,"מועצה אזורית איילות",
11,"Elite",,"עילית",
14,"Nativ Express",,"נתיב אקספרס",
15,"Metropoline",,"מטרפולין",
16,"Superbus",,"סופרבוס",
17,"Connex & Veolia",,"קונקס וויולה",
18,"Kavim",,"קווים",
19,"Metrodan",,"מטרודן",
20,"Carmelit",,"כרמלית",
21,"CityPass",,"סיטיפס",
22,"undefined 22",,"לא מוגדר 22",
23,"Galim (Narkis Gal)","Galim","גלים (נרקיס גל)","גלים"
24,"Golan Regional Council","Golan","מועצה אזורית גולן","גולן"
25,"Afikim",,"אפיקים",
30,"Dan North",,"דן דרום",
41,"East Jerusalem operators","East Jerusalem","מפעילי מזרח ירושלים","מזרח ירושלים"
