reader_id,stop_code,stop_id
4,,place_forsta
5,,place_censta
6,,place_sousta
9,,place_domsta
10,,place_intsta
20,,place_romsta
22,,place_sbasta
58,,place_bowsta
60,,place_wolsta
62,,place_tomsta
63,,place_nunsta
86,,place_parsta
88,,place_faista
194,317588,
498,000025,
614,000229,
795,000738,
989,001077,
994,001083,
999,001087,
1040,001159,
1043,001162,
1055,001176
1056,001178,
1565,,place_UQLAKE
2423,002944,
2425,002946,
2517,003047,
3003,003716,
4006,005031,
5678,010487,
9582,003748,
13002,010787,
13003,010788,
15275,000043,
15276,000044,
19513,319743,
19684,010796,
20785,,place_UQLAKE
22937,000020,
28679,019050,
29063,,place_INTTBL
29230,061017,
