reader_id,stop_id,comment
0x1448,9,
0x1450,85,
0x1452,133,
0x2603,99,
0x2759,36,
0x2760,17,
0x2761,76,
0x2762,42,
0x2763,102,
0x2764,6,
0x2765,16,
0x2766,30,
0x2767,38,
0x2768,19,
0x2769,50,
0x2770,5,
0x2771,32,
0x2772,1,
0x2773,87,
0x2774,15,
0x2775,31,
0x2776,56,
0x2777,22,
0x2778,72,
0x2779,140,
0x2780,33,
0x2781,48,
0x2782,58,
0x2783,73,
0x2785,3,
0x2786,12,
0x2787,84,
0x2788,28,
0x2789,92,
0x2790,68,
0x2791,89,
0x2792,67,
0x2793,91,
0x2794,2,
0x2795,66,
0x2796,43,
0x2797,4,
0x2798,90,
0x2799,46,
0x2800,100,
0x2801,98,
0x2802,88,
0x2803,8,
0x2804,26,
0x2805,44,
0x2806,49,
0x2807,37,
0x2808,23,
0x2809,7,
0x2810,39,
0x2811,34,
0x2812,24,
0x2813,59,
0x2814,41,
0x2815,95,
0x3009,135,
0x3018,83,
0x3027,82,
0x3036,96,
0x3045,86,
0x3050,138,
0x3054,93,
0x3063,101,
0x3072,97,
0x3081,74,
0x3090,94,
