reader_id,stop_code,stop_id
0x170015,,822GA00408
0x17001a,,822GA00070
0x17001b,,822GA00074
0x17001c,,822GA00083
0x17001d,,822GA00275
0x17001e,,822GA00278
0x17001f,,825GA00281
0x170020,,825GA00286
0x170021,,825GA00291
0x170022,,825GA00295
0x170023,,825GA00297
0x170024,,825GA00293
0x170035,,825GA00310
0x170036,,825GA00313
0x170037,,825GA00316
0x170038,,825GA00319
0x170039,,825GA00322
0x17003b,,825GA00325
0x170046,,822GA00436
0x17004f,,gen:57102:3569:1
0x170050,,gen:57102:3570:1
0x170052,,gen:57102:3576:1
0x170053,,gen:57102:3575:1
