id,name
0x1010001, linéo L1
0x1010002, linéo L2
0x1010003, linéo L3
0x1010004, linéo L4
0x1010005, linéo L5
0x1010006, linéo L6
0x1010007, linéo L7
0x1010008, linéo L1
0x1010009, linéo L9
0x101000a, linéo L10
0x101000b, linéo L11
0x101000d, bus 13
0x101000e, bus 14
0x101000f, bus 15
0x1010011, bus 17
0x1010012, bus 18
0x1010013, bus 19
0x1010014, bus 20
0x1010015, bus 21
0x1010017, bus 23
0x1010019, bus 25
0x101001a, bus 26
0x101001b, bus 27
0x101001d, bus 29
0x101001e, bus 30
0x1010020, bus 32
0x1010021, bus 33
0x1010022, bus 34
0x1010024, bus 36
0x1010025, bus 37
0x1010027, bus 39
0x1010028, bus 40
0x1010029, bus 41
0x101002a, bus 42
0x101002b, bus 43
0x101002c, bus 44
0x101002d, bus 45
0x101002e, bus 46
0x1010030, bus 48
0x1010031, bus 49
0x1010032, bus 50
0x1010033, bus 51
0x1010035, bus 53
0x1010036, bus 54
0x1010037, bus 55
0x1010038, bus 56
0x101003a, bus 58
0x101003b, bus 59
0x101003c, bus 60
0x101003f, bus 63
0x1010042, bus 66
0x1010043, bus 67
0x1010044, bus 68
0x1010045, bus 69
0x1010046, bus 70
0x1010047, bus 71
0x1010048, bus 72
0x1010049, bus 73
0x101004c, bus 76
0x101004e, bus 78
0x101004f, bus 79
0x1010050, bus 80
0x1010051, bus 81
0x1010052, bus 82
0x1010053, bus 83
0x1010054, bus 84
0x1010055, bus 85
0x1010057, bus 87
0x1010065, bus 101
0x1010066, bus 102
0x1010067, bus 103
0x1010068, bus 104
0x101006a, bus 106
0x101006b, bus 107
0x101006d, bus 109
0x101006e, bus 110
0x101006f, bus 111
0x1010070, bus 112
0x1010071, bus 113
0x1010072, bus 114
0x1010073, bus 115
0x1010074, bus 116
0x1010075, bus 117
0x1010076, TAD 118
0x1010077, TAD 119
0x1010078, TAD 120
0x1010079, bus 121
0x101007a, bus 130
0x101007b, bus 131
0x101007c, bus 132
0x1010096, bus 150
0x1010097, bus 151
0x1010098, bus 152
0x10100c9, bus 201
0x10100ca, bus 202
0x10100cc, bus 204
0x10100cd, bus 205
0x101012d, bus 301
0x101012e, bus 302
0x101012f, bus 303
0x1010130, bus 304
0x1010131, bus 305
0x1010132, bus 306
0x1010136, bus 310
0x1010137, bus 311
0x1010138, bus 312
0x1010139, bus 313
0x101013a, bus 314
0x101013b, bus 315
0x101013c, bus 316
0x101013d, bus 317
0x1010140, bus 320
0x1010141, bus 321
0xF0103e7, Parking à vélos
0x30103e9, Métro A
0x30103ea, Métro B
0x40103ed, Tram T1
0x40103ee, Tram T2
0x30103ef, Téléo
