reader_id,stop_name,comment,stop_lat,stop_lon,osm_place_id
101,KJ1 Gombak,unconfirmed,3.231208,101.724424,108203411
102,KJ2 Taman Melati,unconfirmed,3.219527,101.721867,107836722
103,KJ3 Wangsa Maju,unconfirmed,3.205667,101.731908,80759156
104,KJ4 Sri Rampai,unconfirmed,3.199249,101.73727,80770424
105,KJ5 Setiawangsa,unconfirmed,3.175725,101.735884,107936424
106,KJ6 Jelatek,unconfirmed,3.167251,101.735316,107987421
107,KJ7 Dato' Keramat,unconfirmed,3.165067,101.731856,107932812
108,KJ8 Damai,unconfirmed,3.164464,101.724405,80759102
109,KJ9 Ampang Park,unconfirmed,3.159877,101.719044,80792887
110,KJ10 KLCC,,3.159306,101.713203,64515484
111,KJ11 Kampung Baru,unconfirmed,3.161326,101.706597,199407329
112,KJ12 Dang Wangi,unconfirmed,3.156686,101.701975,80792861
113,KJ13 Masjid Jamek,unconfirmed,3.149408,101.696461,263995457
114,KJ14 Pasar Seni,,3.14269,101.695306,109471650
115,KJ15 KL Sentral,LRT,3.134094,101.686657,63893506
501,MR1 KL Sentral,Monorel,3.132591,101.688001,80519832
512,MR11 Titiwangsa,Monorel,3.173201,101.695923,80129333
718,SBK18 Bukit Bintang,3.146074,101.711482,24375094
